,MW,type
RMI,188.7978,proteozyme
FMNAT,34.7343,proteozyme
NADDP_num1,59.3779,proteozyme
NADDP_num2,73.6061,proteozyme
NMNAT_num1,189.3833,proteozyme
NMNAT_num2,24.528,proteozyme
HMPK1_num1,114.5344,proteozyme
HMPK1_num2,61.6948,proteozyme
NDPK6_num1,23.586,proteozyme
NDPK6_num2,61.8538,proteozyme
NDPK8_num1,23.586,proteozyme
NDPK8_num2,61.8538,proteozyme
PYNP2r,162.9545,proteozyme
DURIPP_num1,94.4142,proteozyme
DURIPP_num2,155.6995,proteozyme
PTRCTA,99.3227,proteozyme
CYSDS_num1,172.8495,proteozyme
CYSDS_num2,211.0938,proteozyme
TRPAS2,211.0938,proteozyme
NDP3_num1,17.4329,proteozyme
NDP3_num2,35.3527,proteozyme
CDPPH,35.3527,proteozyme
NDP7,35.3527,proteozyme
PMDPHT_num1,30.1962,proteozyme
PMDPHT_num2,27.1218,proteozyme
ILETA,204.5619,proteozyme
VALTA,204.5619,proteozyme
ORPT,47.134,proteozyme
RBFSa,969.3906,proteozyme
DHAD2,131.0631,proteozyme
G1PP_num1,22.7318,proteozyme
G1PP_num2,23.0075,proteozyme
G1PP_num3,29.7211,proteozyme
PFL_num1,118.3894,proteozyme
PFL_num2,198.9187,proteozyme
PFL_num3,114.1398,proteozyme
PFL_num4,213.2029,proteozyme
FRD2,121.2166,proteozyme
FRD3,121.2166,proteozyme
POX,248.0455,proteozyme
PTAr_num1,463.0325,proteozyme
PTAr_num2,72.1335,proteozyme
ACKr_num1,42.4337,proteozyme
ACKr_num2,43.2904,proteozyme
ACKr_num3,43.3841,proteozyme
MOAT,47.2911,proteozyme
UDCPDPS,56.8883,proteozyme
USHD,26.8942,proteozyme
LPADSS,84.7649,proteozyme
TDSK,35.5893,proteozyme
NTPP1_num1,14.9271,proteozyme
NTPP1_num2,60.8246,proteozyme
NTPP2_num1,14.9271,proteozyme
NTPP2_num2,60.8246,proteozyme
NTPTP1,356.2976,proteozyme
NTPTP2,356.2976,proteozyme
IPMD_num1,79.034,proteozyme
IPMD_num2,40.3149,proteozyme
AIRC3,142.2426,proteozyme
ADSL2r,206.1712,proteozyme
PUNP5_num1,179.0077,proteozyme
PUNP5_num2,155.6995,proteozyme
PUNP6_num1,155.6995,proteozyme
PUNP6_num2,179.0077,proteozyme
PUNP7,179.0077,proteozyme
RNDR1_num1,274.1399,proteozyme
RNDR1_num2,270.3917,proteozyme
RNDR3_num1,270.3917,proteozyme
RNDR3_num2,274.1399,proteozyme
RNDR4_num1,270.3917,proteozyme
RNDR4_num2,274.1399,proteozyme
TMDS,60.9594,proteozyme
TMDK1,23.4566,proteozyme
PPCDC,521.2577,proteozyme
FTHFD,191.6083,proteozyme
EDD,64.639,proteozyme
DHQTi,54.9333,proteozyme
PUNP1,155.6995,proteozyme
PUNP2,155.6995,proteozyme
PUNP3_num1,179.0077,proteozyme
PUNP3_num2,155.6995,proteozyme
LYSAM,38.7496,proteozyme
DHAD1,131.0631,proteozyme
IPPMIa,72.3693,proteozyme
G3PD7,148.4235,proteozyme
NADH9_num1,40.34,proteozyme
NADH9_num2,47.3587,proteozyme
NADH9_num3,83.3822,proteozyme
NADH9_num4,40.7511,proteozyme
NADH10_num1,40.34,proteozyme
NADH10_num2,47.3587,proteozyme
NADH10_num3,40.7511,proteozyme
NADH10_num4,83.3822,proteozyme
MDH,64.6746,proteozyme
FUM_num1,120.2106,proteozyme
FUM_num2,120.5972,proteozyme
FUM_num3,201.9555,proteozyme
PYDXNK,61.6948,proteozyme
PYAM5PO,51.0903,proteozyme
OHPBAT,79.5666,proteozyme
GLUTRR,92.6136,proteozyme
GLCS1,52.8224,proteozyme
GLCP_num1,186.3451,proteozyme
GLCP_num2,181.0448,proteozyme
HEMEOS,32.2485,proteozyme
ADMDC,30.3846,proteozyme
AGMT,67.1141,proteozyme
ARGDC,844.2524,proteozyme
ARGSS,199.5936,proteozyme
AGPR,35.9521,proteozyme
SPMS,64.6428,proteozyme
G1SAT,90.7322,proteozyme
KDOCT2,27.6144,proteozyme
OAADC,66.8521,proteozyme
MNNH,44.838,proteozyme
ALTRH,54.0931,proteozyme
GUI1,53.9872,proteozyme
PGAMT,47.5436,proteozyme
UAGDP,147.5702,proteozyme
UAGCVT,44.8176,proteozyme
GLUR,31.002,proteozyme
UAG2E,84.4892,proteozyme
MACPD,85.2266,proteozyme
DMQMT,53.1109,proteozyme
ICHORS_copy1,42.9316,proteozyme
HACD5_num1,159.1878,proteozyme
HACD5_num2,77.0722,proteozyme
HPPK2,18.0788,proteozyme
PTPATi,107.0198,proteozyme
HEX7,32.4998,proteozyme
DXPRIi,86.776,proteozyme
OPHBDC,333.6225,proteozyme
OHPHM,53.1109,proteozyme
GHMT2r,90.6332,proteozyme
DHORD2,36.7745,proteozyme
ADK4,23.586,proteozyme
INSK,96.8976,proteozyme
ABTA_num1,91.5493,proteozyme
ABTA_num2,44.7291,proteozyme
SSALx,99.4357,proteozyme
ASPT,209.4245,proteozyme
SERD_L_num1,211.0938,proteozyme
SERD_L_num2,48.9066,proteozyme
SERD_L_num3,97.0433,proteozyme
SERD_L_num4,48.7529,proteozyme
SERD_L_num5,140.9296,proteozyme
THRD_num1,148.9562,proteozyme
THRD_num2,40.3513,proteozyme
KARA1,216.2761,proteozyme
KARA2,216.2761,proteozyme
ACCOAC,252.4556,proteozyme
NADK,195.3983,proteozyme
ICHORS_copy2,97.5291,proteozyme
SUCBZS,35.4766,proteozyme
DHBD,104.9986,proteozyme
ICHORT,32.5543,proteozyme
RBK_L1,122.1788,proteozyme
RBP4E_num1,25.2777,proteozyme
RBP4E_num2,102.0756,proteozyme
RBP4E_num3,25.5609,proteozyme
NTD2_num1,25.3006,proteozyme
NTD2_num2,26.9004,proteozyme
NTD2_num3,27.1631,proteozyme
NTD4_num1,26.9004,proteozyme
NTD4_num2,27.1631,proteozyme
NTD5_num1,45.4161,proteozyme
NTD5_num2,26.9004,proteozyme
NTD5_num3,25.3006,proteozyme
NTD5_num4,20.2554,proteozyme
NTD6_num1,45.4161,proteozyme
NTD6_num2,26.9004,proteozyme
NTD6_num3,20.2554,proteozyme
LGTHL,29.8397,proteozyme
PYDXPP_num1,30.2013,proteozyme
PYDXPP_num2,30.3709,proteozyme
PYDXPP_num3,29.7077,proteozyme
PYDXPP_num4,27.1631,proteozyme
PDXPP,30.2013,proteozyme
HACD6_num1,159.1878,proteozyme
HACD6_num2,77.0722,proteozyme
ECOAH1_num1,77.0722,proteozyme
ECOAH1_num2,159.1878,proteozyme
ECOAH2_num1,77.0722,proteozyme
ECOAH2_num2,159.1878,proteozyme
ECOAH3_num1,77.0722,proteozyme
ECOAH3_num2,159.1878,proteozyme
UGLT,79.2914,proteozyme
DXPS,135.2339,proteozyme
CDPMEK,61.8507,proteozyme
MECDPS,50.6926,proteozyme
DDGLK,33.9624,proteozyme
XYLI2,198.968,proteozyme
PMANM,50.4626,proteozyme
ICL,190.0863,proteozyme
GLYCL,364.0876,proteozyme
HCYSMT,33.4228,proteozyme
UDPG4E,74.5302,proteozyme
LACZ,465.9314,proteozyme
TRE6PH,63.8377,proteozyme
XYLI1,198.968,proteozyme
PPC,396.2504,proteozyme
G3PT_num1,30.4128,proteozyme
G3PT_num2,27.1631,proteozyme
CINNDO,126.9954,proteozyme
DHPPD,28.4996,proteozyme
DHCIND,28.4996,proteozyme
CITL,614.1003,proteozyme
GOFUCR,72.2823,proteozyme
PYDXK_num1,61.6948,proteozyme
PYDXK_num2,62.6444,proteozyme
GTPCII2,43.672,proteozyme
SADT2,350.9871,proteozyme
LCARS,81.0267,proteozyme
ALCD19_num1,141.5183,proteozyme
ALCD19_num2,3845.0896,proteozyme
RMPA,120.582,proteozyme
SBTPD,111.4315,proteozyme
PFK_2,139.3682,proteozyme
GLTPD,74.7803,proteozyme
TGBPA_num1,172.3671,proteozyme
TGBPA_num2,77.9206,proteozyme
MANAO,53.5802,proteozyme
TAGURr,54.8083,proteozyme
PGLYCP,27.3892,proteozyme
GLXCL,129.4635,proteozyme
TARTD,110.826,proteozyme
GLCRAL,164.305,proteozyme
KAS14_num1,85.2266,proteozyme
KAS14_num2,86.0915,proteozyme
EDTXS1,35.4068,proteozyme
EDTXS2,37.4104,proteozyme
EDTXS3,35.4934,proteozyme
EDTXS4,37.4104,proteozyme
NNDPR,65.5241,proteozyme
HACD4_num1,159.1878,proteozyme
HACD4_num2,77.0722,proteozyme
HACD7_num1,77.0722,proteozyme
HACD7_num2,159.1878,proteozyme
AACPS1,89.3395,proteozyme
SDPDS,82.538,proteozyme
DMSOR1_num1,233.0425,proteozyme
DMSOR1_num2,144.0938,proteozyme
DKGLCNR2y,70.791,proteozyme
2DGULRy,70.791,proteozyme
RZ5PP,23.3085,proteozyme
NTD9_num1,20.2554,proteozyme
NTD9_num2,26.9004,proteozyme
NTD9_num3,25.3988,proteozyme
NTD9_num4,27.1631,proteozyme
NTD10,26.9004,proteozyme
ADPT,39.7178,proteozyme
ADK1,23.586,proteozyme
OCTDPS,70.4339,proteozyme
AACPS2,89.3395,proteozyme
AACPS3,89.3395,proteozyme
AACPS4,89.3395,proteozyme
AMANK,29.6439,proteozyme
ACNML,130.3739,proteozyme
CAT_num1,336.6504,proteozyme
CAT_num2,320.0953,proteozyme
SERASr,141.991,proteozyme
DMSOR2,144.0938,proteozyme
ACMAMUT,27.9282,proteozyme
DDGALK,31.3736,proteozyme
AB6PGH_num1,53.1613,proteozyme
AB6PGH_num2,55.3608,proteozyme
AB6PGH_num3,53.9349,proteozyme
AMALT1,78.5035,proteozyme
MLTP2,181.0448,proteozyme
PACCOAL,48.9529,proteozyme
GP4GH,31.2967,proteozyme
ACGAMT,81.9145,proteozyme
AADDGT,40.6396,proteozyme
GMHEPK,102.1012,proteozyme
TRE6PS,53.6112,proteozyme
UDCPDP_num1,29.0213,proteozyme
UDCPDP_num2,22.3986,proteozyme
UDCPDP_num3,29.7588,proteozyme
TREH,63.6967,proteozyme
CYTK1,24.7463,proteozyme
CYTK2,24.7463,proteozyme
GK1,47.1854,proteozyme
HACD1_num1,159.1878,proteozyme
HACD1_num2,77.0722,proteozyme
HACD2_num1,159.1878,proteozyme
HACD2_num2,77.0722,proteozyme
ACACCT_num1,92.9717,proteozyme
ACACCT_num2,57.5623,proteozyme
BUTCT,92.9717,proteozyme
2DGULRx,70.791,proteozyme
G1PTT_num1,130.7742,proteozyme
G1PTT_num2,130.9376,proteozyme
TDPGDH_num1,39.7538,proteozyme
TDPGDH_num2,81.1167,proteozyme
UDPGALM,42.9659,proteozyme
TDPDRE,21.2701,proteozyme
TDPDRR,32.6941,proteozyme
G3PD6,148.4235,proteozyme
ALLTN,198.4064,proteozyme
UAPGR,37.851,proteozyme
NDPK7_num1,23.586,proteozyme
NDPK7_num2,61.8538,proteozyme
GLYAT,86.2341,proteozyme
ADNUC,32.5608,proteozyme
GMHEPPA,21.2942,proteozyme
S7PI,83.259,proteozyme
TRPS3,143.4143,proteozyme
CRNBTCT,90.2535,proteozyme
CRNCBCT,90.2535,proteozyme
CRNCDH,28.1902,proteozyme
FADRx,26.242,proteozyme
GTPDPK,83.8756,proteozyme
NDPK2_num1,23.586,proteozyme
NDPK2_num2,61.8538,proteozyme
NDPK3_num1,61.8538,proteozyme
NDPK3_num2,23.586,proteozyme
NDPK4_num1,23.586,proteozyme
NDPK4_num2,61.8538,proteozyme
FCLT_num1,33.0523,proteozyme
FCLT_num2,35.8844,proteozyme
FCLT_num3,93.5084,proteozyme
HBZOPT,32.5118,proteozyme
PNTK,72.7196,proteozyme
DPCOAK,22.6217,proteozyme
HETZK,54.6783,proteozyme
KDOPS,123.3308,proteozyme
KDOPP,79.9884,proteozyme
AST,38.4559,proteozyme
SGDS,35.8002,proteozyme
CYNTAH,170.4884,proteozyme
GSPMDA,141.0639,proteozyme
GSPMDS,141.0639,proteozyme
GUAD,50.2442,proteozyme
TMAOR1_num1,144.0938,proteozyme
TMAOR1_num2,233.0425,proteozyme
TMAOR2,144.0938,proteozyme
DGK1,47.1854,proteozyme
DTMPK,23.7831,proteozyme
NDPK1_num1,23.586,proteozyme
NDPK1_num2,61.8538,proteozyme
TRDR_num1,81.0527,proteozyme
TRDR_num2,84.8008,proteozyme
PGMT_num1,58.361,proteozyme
PGMT_num2,20.7798,proteozyme
PGMT_num3,23.5649,proteozyme
FRUK,67.5114,proteozyme
RHCCE,19.4162,proteozyme
KG6PDC_num1,47.1562,proteozyme
KG6PDC_num2,23.4448,proteozyme
X5PL3E_num1,32.0066,proteozyme
X5PL3E_num2,32.4552,proteozyme
DOGULNR,73.1454,proteozyme
BETALDHx,211.6445,proteozyme
BETALDHy,211.6445,proteozyme
MLTG3,69.041,proteozyme
DKGLCNR1_num1,31.1096,proteozyme
DKGLCNR1_num2,29.4368,proteozyme
NADTRHD,412.4831,proteozyme
FMNRx2_num1,42.5067,proteozyme
FMNRx2_num2,26.242,proteozyme
FMNRx2_num3,530.1587,proteozyme
ACPS1_num1,28.1046,proteozyme
ACPS1_num2,21.7678,proteozyme
GMPS2,117.3584,proteozyme
AMPN,323.9695,proteozyme
GSNK,96.8976,proteozyme
ADCS,71.7414,proteozyme
ADCL_num1,59.4301,proteozyme
ADCL_num2,18.7769,proteozyme
DHAPT,360.8342,proteozyme
UMPK_num1,24.7463,proteozyme
UMPK_num2,155.8216,proteozyme
DDPGALA,21.3906,proteozyme
DURIK1,23.4566,proteozyme
UPPRT,67.5998,proteozyme
CTPS2,241.4966,proteozyme
NTD1_num1,45.4161,proteozyme
NTD1_num2,26.9004,proteozyme
NTD1_num3,25.3006,proteozyme
NTD1_num4,20.2554,proteozyme
NTD7_num1,25.3988,proteozyme
NTD7_num2,26.9004,proteozyme
NTD7_num3,20.2554,proteozyme
NTD7_num4,27.1631,proteozyme
PAPPT3,39.8748,proteozyme
UAGPT3,37.8147,proteozyme
F6PA_num1,229.9682,proteozyme
F6PA_num2,23.5552,proteozyme
AGMHE,174.4658,proteozyme
GMHEPAT,102.1012,proteozyme
IDOND,37.1466,proteozyme
IDOND2,37.1466,proteozyme
GLYCLTDx_num1,70.791,proteozyme
GLYCLTDx_num2,35.3434,proteozyme
HPYRRy_num1,35.3434,proteozyme
HPYRRy_num2,70.791,proteozyme
ACODA,84.6947,proteozyme
ADA,36.3975,proteozyme
DADA,36.3975,proteozyme
ADD,127.4787,proteozyme
ADSS,94.6899,proteozyme
AGDC,163.7964,proteozyme
ASNN_num1,148.509,proteozyme
ASNN_num2,33.394,proteozyme
ASNS2_num1,73.3011,proteozyme
ASNS2_num2,125.318,proteozyme
ASPCT_num1,309.2879,proteozyme
ASPCT_num2,206.5642,proteozyme
DMPPS,69.5491,proteozyme
MCOATA,41.0567,proteozyme
IPDPS,69.5491,proteozyme
DAPE,60.4171,proteozyme
DHDPRy,115.0264,proteozyme
HSK,67.2473,proteozyme
SDPTA_num1,91.5493,proteozyme
SDPTA_num2,44.7291,proteozyme
SDPTA_num3,87.5339,proteozyme
SDPTA_num4,87.3307,proteozyme
SDPTA_num5,79.5666,proteozyme
THRS,47.1138,proteozyme
HSST,71.4546,proteozyme
PPNDH,86.2227,proteozyme
DDPA_num1,152.0381,proteozyme
DDPA_num2,77.6079,proteozyme
DDPA_num3,77.4701,proteozyme
NMNDA,35.1634,proteozyme
NNAM,23.362,proteozyme
P5CD,287.6303,proteozyme
SPMDAT1,87.548,proteozyme
SPMDAT2,87.548,proteozyme
TDPADGAT,24.2204,proteozyme
MALS_num1,60.2736,proteozyme
MALS_num2,80.4885,proteozyme
TRE6PP,29.1753,proteozyme
ADPRDP_num1,42.3063,proteozyme
ADPRDP_num2,47.3336,proteozyme
ARAI,336.4439,proteozyme
M1PD,41.139,proteozyme
G3PD2,72.7232,proteozyme
GALS3,101.3141,proteozyme
FCI,389.86,proteozyme
FCLK,52.2587,proteozyme
FCLPA_num1,23.2225,proteozyme
FCLPA_num2,95.1013,proteozyme
ACCOAL_num1,72.0936,proteozyme
ACCOAL_num2,69.3509,proteozyme
GALUi,131.769,proteozyme
U23GAAT,108.1154,proteozyme
UAAGDS,53.3436,proteozyme
UAMAS,107.2519,proteozyme
UAMAGS,46.9736,proteozyme
UGLYCH,18.1696,proteozyme
OP4ENH,144.4494,proteozyme
HOPNTAL,36.4704,proteozyme
3HPPPNH,62.1857,proteozyme
AKGDH,2418.391,proteozyme
HPYRRx_num1,35.3434,proteozyme
HPYRRx_num2,70.791,proteozyme
GLYCDx,309.6976,proteozyme
ASP1DC,13.8337,proteozyme
UGMDDS,47.4472,proteozyme
UHGADA,33.9559,proteozyme
UAGAAT,92.8795,proteozyme
ATPPRT,66.7334,proteozyme
HISTD,92.2207,proteozyme
IGPDH,80.5559,proteozyme
PRPPS,34.2183,proteozyme
PRATPP,22.7558,proteozyme
PRMICI,26.0326,proteozyme
SERAT,175.8998,proteozyme
CYSS_num1,65.3283,proteozyme
CYSS_num2,68.9793,proteozyme
BPNT,27.1759,proteozyme
PAPSR_num1,71.5064,proteozyme
PAPSR_num2,67.7583,proteozyme
ASPK_num1,177.7754,proteozyme
ASPK_num2,356.481,proteozyme
ASPK_num3,97.0635,proteozyme
ASAD,80.0358,proteozyme
DAPDC,92.3545,proteozyme
METAT,167.8065,proteozyme
ASCBPL,240.364,proteozyme
ACBIPGT,40.328,proteozyme
ADOCBLS,26.3856,proteozyme
ADOCBIK,40.328,proteozyme
TMPK,35.0708,proteozyme
HPPPNDO,136.7842,proteozyme
DHCINDO,136.7842,proteozyme
HKNDDH,63.8749,proteozyme
HKNTDH,63.8749,proteozyme
GLYCK2,39.1043,proteozyme
ENTCS,23.2586,proteozyme
SULR,786.1512,proteozyme
MANPGH,100.015,proteozyme
URDGLYCD,75.9342,proteozyme
CBMKr,31.6441,proteozyme
AMANAPEr,24.0737,proteozyme
ACM6PH,62.4398,proteozyme
NNATr,24.528,proteozyme
CYTDH_num1,33.8229,proteozyme
CYTDH_num2,134.992,proteozyme
CYTDH_num3,32.5608,proteozyme
PSERT,79.5666,proteozyme
AIRC2,78.9222,proteozyme
GAPD,142.13,proteozyme
HEX1,34.7231,proteozyme
GND,102.9626,proteozyme
TAUDO,129.6381,proteozyme
ME2,494.5043,proteozyme
ARGSL,50.3182,proteozyme
CBPS,318.5455,proteozyme
GLU5K,156.2261,proteozyme
IPPS,57.2979,proteozyme
ACOATA,75.6698,proteozyme
MLTG2,69.041,proteozyme
MLTG1,69.041,proteozyme
AMALT3,78.5035,proteozyme
MLTP3,181.0448,proteozyme
SPODM_num1,46.1942,proteozyme
SPODM_num2,42.5316,proteozyme
AHCYSNS,48.7079,proteozyme
TMK,32.3973,proteozyme
NTPP4_num1,15.0461,proteozyme
NTPP4_num2,60.8246,proteozyme
NTPP3_num1,60.8246,proteozyme
NTPP3_num2,16.3707,proteozyme
NTPP3_num3,15.0461,proteozyme
NTPP6_num1,60.8246,proteozyme
NTPP6_num2,65.6516,proteozyme
NTPP7_num1,16.3707,proteozyme
NTPP7_num2,60.8246,proteozyme
NTPP7_num3,43.0309,proteozyme
NTPP8_num1,60.8246,proteozyme
NTPP8_num2,43.0309,proteozyme
P5CR,281.4488,proteozyme
CYANST_num1,37.2775,proteozyme
CYANST_num2,24.1649,proteozyme
CYANST_num3,30.8118,proteozyme
DHPPDA2,80.6766,proteozyme
GMAND,84.0937,proteozyme
PPCSCT,53.8244,proteozyme
CYTD,63.0797,proteozyme
DCYTD,63.0797,proteozyme
DBTS,48.2792,proteozyme
DCTPD,63.7478,proteozyme
DHDPS,125.0799,proteozyme
G1PACT,147.5702,proteozyme
GART,42.4337,proteozyme
CSND,285.5459,proteozyme
GF6PTA,133.7887,proteozyme
GLUCYS,58.2693,proteozyme
GLUN_num1,131.6133,proteozyme
GLUN_num2,67.0312,proteozyme
GLUPRT,225.9522,proteozyme
GMPR,149.5347,proteozyme
NADS1,61.2737,proteozyme
NTRIR2x,105.4053,proteozyme
OCBT_num1,110.7213,proteozyme
OCBT_num2,110.4814,proteozyme
GARFT,23.2383,proteozyme
GPDDA1,27.4096,proteozyme
GPDDA2,27.4096,proteozyme
PHETA1_num1,87.1467,proteozyme
PHETA1_num2,87.0756,proteozyme
PHETA1_num3,204.5619,proteozyme
PPND,84.085,proteozyme
TRPS1,143.4143,proteozyme
PRAMPC,22.7558,proteozyme
MCITL2,128.5386,proteozyme
DXYLK,105.2365,proteozyme
MDH3,60.2296,proteozyme
SOTA,87.3307,proteozyme
SGSAD,53.0263,proteozyme
PTA2,463.0325,proteozyme
MDH2,60.2296,proteozyme
ACOTA_num1,91.5493,proteozyme
ACOTA_num2,87.3307,proteozyme
ACOTA_num3,87.5339,proteozyme
ACOTA_num4,44.7291,proteozyme
GPDDA5,27.4096,proteozyme
PDX5PS,281.3019,proteozyme
PPBNGS,284.9983,proteozyme
PPNCL2,521.2577,proteozyme
PRAGSr,45.9404,proteozyme
PRFGS,141.4027,proteozyme
ETHAAL,487.1078,proteozyme
MAN1PT2,53.0163,proteozyme
AP4AH,31.2967,proteozyme
AP5AH,31.2967,proteozyme
ADNCYC,97.586,proteozyme
MI1PP,29.1721,proteozyme
MCITS,86.2044,proteozyme
PPAKr,43.3841,proteozyme
NTP3_num1,68.8674,proteozyme
NTP3_num2,36.7039,proteozyme
NTP3_num3,35.6597,proteozyme
NTP3_num4,39.1933,proteozyme
NTP3_num5,31.565,proteozyme
NTP3_num6,36.1132,proteozyme
NTP3_num7,48.3271,proteozyme
PPM2,44.37,proteozyme
MOAT2,47.2911,proteozyme
G6PDH2r,55.7044,proteozyme
NADH5_num1,40.7511,proteozyme
NADH5_num2,47.3587,proteozyme
NADH5_num3,40.34,proteozyme
NADH5_num4,83.3822,proteozyme
MOHMT,282.3744,proteozyme
GMPS,117.3584,proteozyme
UDPGD,87.3138,proteozyme
GLCRD_num1,48.8496,proteozyme
GLCRD_num2,49.141,proteozyme
PPPNDO,126.9954,proteozyme
CHRPL_num1,18.7769,proteozyme
CHRPL_num2,59.4301,proteozyme
TDPAGTA,167.6041,proteozyme
UACMAMO,91.6775,proteozyme
FBA3,78.2945,proteozyme
PMPK,114.5344,proteozyme
LCADi,209.0912,proteozyme
ADK3,23.586,proteozyme
GLUDC_num1,316.111,proteozyme
GLUDC_num2,316.0088,proteozyme
BSORy,85.8507,proteozyme
ADSK,44.6426,proteozyme
HSDy_num1,177.7754,proteozyme
HSDy_num2,356.481,proteozyme
CYSTL_num1,172.8495,proteozyme
CYSTL_num2,87.2837,proteozyme
SHSL1,166.2016,proteozyme
SSALy_num1,99.4357,proteozyme
SSALy_num2,206.8803,proteozyme
3HCINNMH,62.1857,proteozyme
BSORx,85.8507,proteozyme
GLUtex_num1,41.2198,proteozyme
GLUtex_num2,116.766,proteozyme
GLUtex_num3,117.9999,proteozyme
GLUtex_num4,121.1044,proteozyme
GLYtex_num1,41.2198,proteozyme
GLYtex_num2,116.766,proteozyme
GLYtex_num3,117.9999,proteozyme
GLYtex_num4,121.1044,proteozyme
GLYALDtex_num1,41.2198,proteozyme
GLYALDtex_num2,116.766,proteozyme
GLYALDtex_num3,117.9999,proteozyme
GLYALDtex_num4,121.1044,proteozyme
GLYBtex_num1,41.2198,proteozyme
GLYBtex_num2,116.766,proteozyme
GLYBtex_num3,117.9999,proteozyme
GLYBtex_num4,121.1044,proteozyme
GLYCtex_num1,41.2198,proteozyme
GLYCtex_num2,116.766,proteozyme
GLYCtex_num3,117.9999,proteozyme
